N,greedy,sqrtN,error,Nq,err_ratio,is_singer
6,3,2.449489742783178,0.5505102572168221,1.5650845800732873,0.35174473266553025,True
10,4,3.1622776601683795,0.8377223398316205,1.7782794100389228,0.4710858907224734,False
12,5,3.4641016151377544,1.5358983848622456,1.8612097182041991,0.8252151113546558,True
20,6,4.47213595499958,1.5278640450004204,2.114742526881128,0.7224823001283991,False
30,7,5.477225575051661,1.5227744249483388,2.340347319320716,0.6506617254529224,True
40,7,6.324555320336759,0.675444679663241,2.514866859365871,0.26858069131880635,False
50,8,7.0710678118654755,0.9289321881345245,2.6591479484724942,0.34933452599662046,False
56,8,7.483314773547883,0.5166852264521173,2.7355647997347607,0.18887698310133796,True
60,8,7.745966692414834,0.25403330758516596,2.7831576837137404,0.0912752119909331,False
70,9,8.366600265340756,0.6333997346592444,2.892507608519078,0.21897945325839122,False
80,10,8.94427190999916,1.0557280900008408,2.990697562442441,0.3530039624396689,False
90,10,9.486832980505138,0.5131670194948619,3.080070288241023,0.16660886650996623,False
100,11,10.0,1.0,3.1622776601683795,0.31622776601683794,False
110,11,10.488088481701515,0.5119115182984846,3.238531840464366,0.15806900889542672,False
120,11,10.954451150103322,0.04554884989667762,3.309750919646873,0.013762017445571813,False
130,12,11.40175425099138,0.5982457490086208,3.3766483753851806,0.17717146782876905,False
132,12,11.489125293076057,0.5108747069239428,3.389561224270194,0.15072001156549078,True
140,12,11.832159566199232,0.16784043380076774,3.439790628250393,0.04879379355892301,False
150,13,12.24744871391589,0.7525512860841097,3.4996355115805833,0.21503704702785625,False
160,13,12.649110640673518,0.3508893593264819,3.5565588200778455,0.0986597936594232,False
170,13,13.038404810405298,-0.038404810405298306,3.6108731368472773,-0.010635879176533542,False
180,13,13.416407864998739,-0.41640786499873883,3.6628415014847064,-0.11368437996291975,False
182,14,13.490737563232042,0.5092624367679583,3.672973939906468,0.13865125239111462,True
190,14,13.784048752090222,0.2159512479097785,3.7126875376323043,0.05816574805201551,False
200,14,14.142135623730951,-0.142135623730951,3.7606030930863934,-0.037795965224901674,False
250,15,15.811388300841896,-0.8113883008418963,3.976353643835253,-0.204053354786447,False
300,17,17.320508075688775,-0.3205080756887746,4.161791450287817,-0.07701204625873534,False
306,17,17.4928556845359,-0.49285568453590045,4.18244613647754,-0.11783909904718676,True
350,17,18.708286933869708,-1.708286933869708,4.3253077270721105,-0.39495153678373823,False
380,18,19.493588689617926,-1.4935886896179262,4.4151544355342685,-0.33828685076045145,True
400,19,20.0,-1.0,4.47213595499958,-0.22360679774997896,False
450,19,21.213203435596427,-2.2132034355964265,4.605779351596907,-0.4805274561902469,False
500,20,22.360679774997898,-2.360679774997898,4.728708045015879,-0.4992229912536228,False
550,20,23.45207879911715,-3.4520787991171495,4.842734640584506,-0.7128366626135212,False
552,20,23.49468024894146,-3.49468024894146,4.847131135934065,-0.7209791010261204,True
600,22,24.49489742783178,-2.4948974278317806,4.949232003839765,-0.504097893551194,False
650,22,25.495097567963924,-3.4950975679639242,5.049267032744845,-0.6921989954775566,False
700,23,26.457513110645905,-3.4575131106459054,5.143686723610402,-0.672185787438284,False
750,23,27.386127875258307,-4.386127875258307,5.233175696960528,-0.8381388528204406,False
800,24,28.284271247461902,-4.284271247461902,5.3182958969449885,-0.8055721852413166,False
850,25,29.154759474226502,-4.154759474226502,5.3995147443290215,-0.7694690487863088,False
870,25,29.49576240750525,-4.49576240750525,5.43100012958067,-0.8277964095449893,True
900,25,30.0,-5.0,5.477225575051661,-0.9128709291752769,False
950,26,30.822070014844883,-4.822070014844883,5.551762784453681,-0.8685655713439127,False
992,27,31.496031496047245,-4.4960314960472445,5.612132526593366,-0.8011271071633783,True
1000,27,31.622776601683793,-4.622776601683793,5.623413251903491,-0.8220588447983991,False
1100,28,33.166247903554,-5.166247903554002,5.75901449065324,-0.8970715235981284,False
1200,29,34.64101615137755,-5.641016151377549,5.885661912765424,-0.9584336027087689,False
1300,29,36.05551275463989,-7.055512754639892,6.004624280888846,-1.1750131939305095,False
1400,31,37.416573867739416,-6.416573867739416,6.116908849062524,-1.0489896164993235,False
1406,31,37.49666651850535,-6.49666651850535,6.123452173284719,-1.0609483563616098,True
1500,31,38.72983346207417,-7.729833462074168,6.223329772884783,-1.2420735754279426,False
1600,33,40.0,-7.0,6.324555320336759,-1.1067971810589328,False
1700,33,41.23105625617661,-8.231056256176608,6.4211413515181714,-1.2818680987657298,False
1722,33,41.49698784249286,-8.496987842492857,6.441815570356921,-1.3190361862567366,True
1800,33,42.42640687119285,-9.426406871192853,6.5135556243263055,-1.4471983375697084,False
1892,34,43.497126341863094,-9.497126341863094,6.5952351240773135,-1.4399981445986372,True
1900,35,43.58898943540674,-8.588989435406738,6.602195804079635,-1.3009292196543796,False
2000,35,44.721359549995796,-9.721359549995796,6.68740304976422,-1.4536823154899488,False
2100,36,45.8257569495584,-9.825756949558397,6.769472427712399,-1.4514804594423623,False
2200,36,46.9041575982343,-10.904157598234299,6.848661007688605,-1.5921590491911948,False
2256,37,47.49736834815167,-10.497368348151667,6.891833453309189,-1.5231604796124667,True
2300,37,47.958315233127195,-10.958315233127195,6.9251942379349325,-1.5823838085435311,False
2400,38,48.98979485566356,-10.989794855663561,6.999271023161167,-1.5701342067334472,False
2500,38,50.0,-12.0,7.0710678118654755,-1.697056274847714,False
2600,39,50.99019513592785,-11.990195135927848,7.1407419177511136,-1.6791245607296796,False
2700,39,51.96152422706632,-12.96152422706632,7.2084342424042624,-1.7981053570301007,False
2800,40,52.91502622129181,-12.91502622129181,7.27427152512826,-1.7754391180859987,False
2900,40,53.85164807134504,-13.85164807134504,7.338368215846425,-1.8875651458091023,False
